CustomerID,Gender,Age,Location,Tenure_Months,Contract,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SupportCalls_Last6Mo,SatisfactionScore,Referrals,AccountStartDate,ChurnDate,Churned
CUST_000001,Male,33,Urban,1,Month-to-Month,40.83,,Bank Transfer (Automatic),No,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,10.0,0,2024-10-01,2024-10-23,1
CUST_000002,Female,18,Urban,46,Month-to-Month,75.25,3461.5,Credit Card (Automatic),No,Yes,Yes,DSL,No,No,Yes,Yes,No,No,3,8.5,1,2021-01-20,,0
CUST_000003,Female,35,Rural,35,Month-to-Month,66.45,2325.75,Bank Transfer (Automatic),No,Yes,Yes,DSL,No,No,No,Yes,No,No,1,7.2,2,2021-12-16,,0
CUST_000004,Female,55,Urban,9,Month-to-Month,56.29,506.61,Bank Transfer (Automatic),Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,4.8,2,2024-02-04,,0
CUST_000005,Male,50,Urban,71,One Year,61.5,4366.5,Bank Transfer (Automatic),No,No,No Phone Service,Fiber Optic,No,No,Yes,No,No,No,1,5.2,0,2019-01-01,,0
CUST_000006,Male,48,Urban,51,Month-to-Month,52.41,2672.91,Electronic Check,Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,4.4,1,2020-08-23,,0
CUST_000007,Male,37,Rural,45,One Year,34.94,1572.3,Electronic Check,No,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,3.6,2,2021-02-19,,0
CUST_000008,Female,22,Urban,8,Month-to-Month,103.06,824.48,Electronic Check,No,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,1,7.0,1,2024-03-05,2024-10-22,1
CUST_000009,Female,49,Rural,25,Month-to-Month,77.19,1929.75,Bank Transfer (Automatic),No,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,1,6.1,0,2022-10-12,2024-10-26,1
CUST_000010,Female,29,Urban,12,Month-to-Month,91.85,1102.2,Electronic Check,No,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,2,8.3,0,2023-11-06,2024-10-23,1
CUST_000011,Male,74,Rural,4,Two Year,56.76,227.04,Bank Transfer (Automatic),Yes,Yes,No,Fiber Optic,No,No,No,No,No,No,1,7.7,0,2024-07-03,,0
CUST_000012,Female,50,Suburban,11,Month-to-Month,70.49,775.39,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,1,,0,2023-12-06,2024-10-18,1
CUST_000013,Female,33,Urban,19,One Year,74.69,1419.11,Bank Transfer (Automatic),Yes,No,No Phone Service,Fiber Optic,No,Yes,No,No,Yes,No,1,,0,2023-04-10,,0
CUST_000014,Male,32,Suburban,39,One Year,36.65,1429.35,Electronic Check,Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,4.9,0,2021-08-18,,0
CUST_000015,Male,40,Urban,26,Month-to-Month,62.52,1625.52,Electronic Check,No,Yes,Yes,DSL,No,No,No,No,No,No,1,7.9,0,2022-09-12,2024-10-08,1
CUST_000016,Male,38,Urban,30,Month-to-Month,32.62,978.6,Electronic Check,Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,,0,2022-05-15,2024-10-16,1
